"slug","id","gender","role","priority","prioN","appearance","backstory","bio","sheetName","status"
"allik","Allik","Male","AllRounder","???????","2","???????, ?????, 28 ???, ????????, ? ???????? ?????????? ?????, ????????","???????? - ??????????, ?????????, ????????, ?????? ?? ?????. ????? ???? ? ???? ??? ?? ????? ?? ????? ????? ???????????, ???? ????","???? ??????? ? ???????, ???? - ?????. ?????? ????? ?????? ? ????????? ?????. ????? ???????? ??? ?????? ? ???????????? ??????. ?? ??????? ????????? ????? ????????-??????? - ??? ??????? ??????. ????? ????, ????? ?? ???????? ??? ???? ?? ?????????, ?? ????????????.???????????? ???????? ? ??????, ????????-????????, ? ??????? ?? ????????????, ????? ?????? ? ????????? ????????.","???? ""??????"" ?????","pending"
"biff","Biff","Male","Commander","???????","2","???????, ????? (?????), ????????, ?????? ?????????? ?????.","???????? - ??????????, ?????????, ????????, ??????????, ?????? ??????????. ?? ??? ?????? ???????, ?? ?????????, ????? ?? ?????????, ??? ?????????, ??????. ???? ????? ?? ???????? ????.","?????????? ??????????? ??? ?????? ????????, ? ??????? ??? ???????? ???????. ???? ?? ?? ??? ????, ??????????? ???? ? ?????????? ?????????? ?? ???????????? ""?? ?????? ????"", ?????? ????????? ?????? ?? ???? ??. ??????? ????????? ???????? ?????? ??? ""??????????? ???????, ?? ??????? ???? ??????"". ??? ?????????? ??????? ? ????????? ????????? ??? M.E.R.C., ? ????? ???????? ???? ?? ??????? ?????????.","???? ???????","pending"
"conrad","Conrad","Male","Commander","???????","2","???????, ?????, 38 ???, ????????, ??????? ?????? ?????????, ?? ?????? ?????? ? ????????","??????? ?????, ?????? ????????? ??????????.","????????? ????? ???????. ???????? ??????? ??? ??? ? ???? ????????? ??? ?????????, ??? ????????? ????????????? ??? ??? ????????. ??????????? ? ????????, ?? ??? ????????? ?????? ? ???????, ??? ??? ??? ?????? ????????????????, ??? ???????????.","????????? ?????? ???????","pending"
"cougar","Cougar","Male","Autorifleman","???????","2","???????, ?????, 38 ???, ????????, ???????? ?????????? ????? ? ???????? ????????????","???????? - ??????, ?????????, ???????, ????????.","???? ?? ???????? ???????, ??????? ???????? ?????? '???????' ?? ???? ????????? ?????????. ??????? ??????, ??????, ??? ??????????????? ????????? ???? ?????????? ??? ?????. ??????? ??????? ???? ???????? ??????? ???????, ???????? ?????? ??????????? ? ?????????????? ???????. ???? ????????? ????????????, ????????, ?????? ??????? ? M.E.R.C. ???? ? ????? ?????? ???? ???? ??????, ?? ?????????? ???????????????, ????? ???????? ??? ??? ????.","???? ""????"" ???????","pending"
"dynamo","Dynamo","Male","Mechanic","???????","2","???????, ??????, 45 ???. ????????, ? ?????? ?????????? ?????, ?????? ?????. ????? ???? ????? ??????? ??????? - ?????","??????????? ? ????? ??????? ?? ???????? ??????.","?????? ???????. ????? ? ?????? ?? ???????????? ??????, ???? ? ???? ??????????? ??????? ????? ???????. ????????? ????????.","???? ""??????"" ??????","pending"
"flo","Flo","Female","Support","???????","2","???????, ?????, 28 ???, ????????, ?????? ?????????? ?????","??????? ?????? ? ??????. ?? ????? ?? ??????????","???? ????????. ??????? ????? ??????? ??????? ??????? ? ????????? ?????? ?? ???????. ????? ???????? ? ?????????, ???, ????? ???????? ??????????? ? ????? ?? ????????, ????????? ???????. ??? ??? ???????? ???????? ?????? ?? ?????????????? ??????. ??????????????, ?? ????????? ?????????? ? ????, ??????? ?? ?????????????. ? ????????? ?? ?????? ????? ???????? ??????????? ??????? ??????.","??????? ""???"" ????????","pending"
"gamos","Gamos","Male","Scout","???????.","2","???????, ????????? ??? ( ???? ???????????) 27 ???, ????????, ?????? ?????? ?????????.","?????????? ????????? ??????, ??????? ????????.","????? ??????? ?????? ???????? ? ????????, ? ?????? ?? ???????? ? A.I.M. ????????? ????????? ????????????? ?????? ???????, ????? ????????. ???? ???? ???????? ??????? ?????. ? ?????????, ????? ?? ????? ??????? ????? ?? ??? ????????????, ??????? ?? ??? ????? ??????. ??????? ?? ????? ?????? ???????????? ? ????? ?? ?????????? ??????. ?? ????? ???? ??? ??? ?????????? ? ?????????. ? ????????? ??? ??? ?????? ?????? ? ??????????? ????????.","?????","pending"
"gaston","Gaston","Male","Sniper","???????","2","???????, ?????, 35 ???, ????????, ???????? ?????????? ?????","???????? - ??????????, ?????????, ????????, ?????? ?? ?????.","??? ?????? ??????????? ??????? ??????? ?????? ??????? (FMC), ?????? ?????? ?????????? ???? ?? ?????? ???????? ????????? ???? ? ??? ?? ????? ????? ??????????? ????. ????????? ? ????, ????????????????? ???? ? ??????? ???????? ???????????????? ???????, ???????? ???????? ??? ?????? - ??? ????? ???? ??? ???? ??? ? ?????????? ??????? M.E.R.C. ?? ?????????????? ????? ???????????? ? ????????????. ?????? ????? ????? ???????? ?????? ?????. ?? ????? ?????? ??????? ? ????????  ? ??????????? ????? ??????.","?????? ???????","pending"
"henning","Henning","Male","Commander","???????","2","???????, ?????(?????), 45 ???, ????????, ? ??????? ?????????? ?????","???????? - ??????????, ?????????, ????????, ?????? ?? ?????. ??? ???? ? ?????? ??????? ? ?????. ?? ?????? ?????.","??? ?????? ?????????? ?? ????????? ???????? ?????. ????????? ????????????. ?????? ? ????? ???. ????? ??????????? ????????, ??????? ???? ????????? ? ?????? ????????? ???????. ? ?????? ????? ??????? ?? ??? ??????? ?????????? ?? ????, ? ?????? ??? ?????? ""????????????"" ?????? ? ????. ????? ??? ??????? ??? ??????? ??????, ? ?? ?? ????????. ??????? ?? ????? ""???-????"", ? ??????? ??? ?????? ?? ????.","??????? ??? ??????","pending"
"horg","Horg","Male","HeavyWeapons","???????","2","???????, ?????, 40 ???, ????????, ? ???????? ?????????? ?????, ????????.","???????? - ??????????, ?????????, ????????, ?????? ?? ?????.","??????, ??? ????, ????????? ???? ???????????????? ?? ?? ???????????. ??????????? ???????? ? ????????? ? ??????? ???????????, ????? ????????? ??? ???? ??????? ??????????? ????????? ? ?????. ??, ????????, ???? ?? ????? ?????? ???????????? ? ????? ???????, ? M.E.R.C. ???????? ???, ??? ?? ?????? ??? ? ???????? ?????? ??????? ?????????, ????? ? ?? ????????? ????????????? ??????.","????????? ???? ""??????""","pending"
"manuel","Manuel","Male","Scout","???????","2","???????, ???????, 40 ???, ???????? ? ??????? ?????????? ?????","??????? ??????????? ?????? ????????? ?????.","?????? ???????. ?????? ? ????? ??????? ??? ??????????. ?????????. ??? ??????? ????????? ????? ? ?????? ??????, ??? ?????? ?? ????, ???? ?? ??? ???????? ???????.","???????.","pending"
"miguel","Miguel","Male","Commander","???????","2","???????, ???????, 45 ??? ? ??????? ?????????? ?????","????????? ???? ????????, ?????? ?????? ????????? ?????. ?????. ????? ?????? ???","????? ?????????????, ??????????? ????????????? ?????. ????? ??????? ????? ????????? ????????? ??????? ?? ????? ? ????? ??????? ?? ??????. ??????? ?????????? ? ???? ???????.","?????? ???????","pending"
"monk","Monk","Male","Scout","???????","2","???????, ????? (? ????????????? ??????) 40 ???, ? ???????? ? ???????? ?????????? ?????","???????? - ??????????, ?????????, ????????, ?????? ?? ?????. ??? ? ??????????? ?????????","?????? ?????????? ????? ?? ??????; ??? ????????????? ????? ??????? ""??????? ???????"". ?????????? ?? ??????????????? ??????. ????? ???????? ???? ? ?? ?????? ???? ??????????, ??????? ???????? ???????? ??? ""Monk"". ?????????? ???????? ??? ??????????? ?????. ????? ????, ?? ??? ? ?????????? ?? ??????????. ?? ??????? ?????? ??????? ?????. ??? ? ?????, ? ??????? ????????? ? ????????? ????????.","?????? ""????"" ??????????","pending"
"nervous","Nervous","Male","Autorifleman","???????","2","???????, ?????, 32 ????, ????????, ?????? ????????? ?????","?????? - ??????, ????????? ???????, ? ????? ?????-?????? ????????? ??????? ???? ???, ????????? ??????? ?????, ????? ??????????? ?? ??????. ?? ?????? ???? ???????? ???.","???????? - ????????????? ??????. ? ???? ???? ??? ?????? ?????????? ???????, ? ?? ?????????. ???? ?? ? ?? ???????, ?? ??????? ??????? ?????????????? ???????. ?? ?? ????? ????? ??????? ? ? ??? ?????? ?????????? ? ???????? ???????. ?????? ?????? ???????? ??? ?????????? ????? ??????? ??????? ? ??????.","?????? ""???????"" ??????","pending"
"quinten","Quinten","Male","Doctor","???????","2","???????, ?????, 38 ???, ????????, ???????? ?????????? ?????, ?????? ? ?? ???????.","??????? ????, ?????? ??? ???????, ?????????? ????, ????????? ??? ?? ??????? ?????????? ?? ??????????? ??????. ???????? - ??? ?????????. ? ???? - ""??????????"" ????? ? ?????????.","?????? ?????? ??????? ?? ???? ????? ??? ???????????, ???????????? ? ??????? ??????. ?? ????? ???????? '???? ? ???????' ?? ????????? ???, ??? ?????? ? ?????????, ????? ?????????????? ??????, ??????? ?????? ??????? ??????? ????. ????? ????, ?? ?? ??????? ??????? ?? ??? ???, ???? ??? ?? ????????? ? ????????. ?????? ??????? ??????? ?????? ?????? ? ????? ????? ????????? ?????.","?????? ?????? ""?????"" ???????","pending"
"rothman","Rothman","Male","Commander","???????","2","???????, ?????, 35 ???, ????????, ??????? ?????????? ?????","???????? - ??????????, ?????????, ????????, ?????? ?? ?????.","????? ??????? ????? ? ?????????? ????????? ???? ??????? ?? ?????? ??? ? ??????????? - ???? ????????? ????????? ? ????? ????????. ? ??????? ??, ??? ?????????? ?? ???????? ????????, ??????? ????? ??????? ?????? ??????????? ?????? ? ???? ?? ?????, ?????????? ? ????????????? ????. ???????, ??? ? ????? ??????? ????? ????? ?????????? ????? ????, ??? ?? ?????? ?????. ?????? ?????????????? ???? ??? ???????? ???????? ??????, ???????? ?? ????? ?????? ????????.","?????? ??????","pending"
"vicious","Vicious","Male","AllRounder","???????.","2","???????, ?????, 28 ???, ????????, ? ???????? ?????????? ?????, ? ???????? ????????????","?????? ??????. ?? ????? ? ?????? ???????? ???. ???????? ??? ???????.","? ?????? ?? ?????????? ?????, ??? ? ??????. ?????? ???? ????????, ??????? ????????? ? ?????? ?????. ??????? ????? ???????? ????? ?? ??? ??????? ??????. ???????, ??? '????????' ?????? ????????????? ?????? ? A.I.M., ??? ?? ????? ???? ?????? ?????? ?? ??????? ????????????.","???-???? ""???????"" ???","pending"
"biggens","Biggens","Male","Demolitions","??????","3","???????, ?????, 60 ???, ????????, ?????? ?????????? ?????","???????, ?????, ????????, ?????.","?????? ????????? ?????-?? ?????. ??????? ?????, ???????? ????? ? ?????. ????????? ???.","????????? ???????? ???????","pending"
"bull","Bull","Male","Melee","??????","3","???????, ?????, 35-38 ???, ???????, ????????, ?????????? ???????????, ?? ?????????????.","???????, ???????, ????????, ?????, ???? ?????????","?????? ? ?????????????. ???? ?????c ????????????, ????? ??? ???????? ???????? ???? ?? ????. ???????? ?? ??, ??? '???' ?????? ? ??????? ??????? ????? ???, ?? ?? ?????? ????????? ???????????? ? ????? ????????????. ????????, ?? ?????? ?? ?????????? ??????? ?? ???????, ??????? ? ? ?? ??????. ??? - ?????? ????? ??? ?????? ??????. ?? ?????? ?????? ? '????' ????? ?????? ???? ?? ???? ????? ?????????.","???? ""???"" ??????","pending"
"carlos","Carlos","Male","Scout","??????","3","???????, ???????, 40 ???, ????????, ??????? ?????????? ?????","?????? ????. ????????? ???? ???????? ?????????? ? ?? ?????. ?????????? ?????? ?????. ?????? ?? ??????? ???????????? ??????????, ??? ? ?? ? ??????.","?????? ???????, ?????????, ?????? ???? ??????. ????????? ???? ?????????, ???????? ????????????? ? ?? ??? ?????????","?????? ??????","pending"
"cord","Cord","Male","Mechanic","??????","3","???????, ?????, 35-38 ???, ?????, ????????.","????, ?? ?????????????? ???????????. ??? ??????, ?????? ??????????, ? ??????, ? ??????, ? ?????","??? ?????? ??????? ? ????? ? ????????. ? ????????? ?????? ??? ??????? ?? ????? ? ?? ???? ???????? ?? ???????????? ?????? ????. ??? ?? ???? ???????? ?????????. ????? ????, ??? ?????? ??????? ??? ?? ??????, ?? ????? ???????? ?? ?????? ?, ? ????? ??????, ????? ????? ?????????. ?????: ???????? ?? ?????? ? ?????????????????? ???????? ??????.","??? ""??????"" ??????","pending"
"devin","Devin","Male","Demolitions","??????","3","???????, ????? (????????), 45 ???, ????????, ?????? ?????????? ?????.","?????, ??????? ?????? ?? ???????, ????????? ???????, ?????, ????????. ?? ????? ??????? ??????","????????, ???????????? ???????? ???????????. ??? ???????? ???? ????? ? ?????.","????? ???????","pending"
"eskimo","Eskimo","Male","Sniper","??????","3","???????, ?????? ???????? ??????, 40 ???. ??????? ?????????? ?????, ????????","????????? ???? ???????? ?????? ?????????. ?? ????? ?? ????? ?????-?????? ???????? ??????? ?????.","?????????, ???????, ?????????. ??? ?????? ?????? ??????? ? ?????? ???????.","????? ""??????"" ?????","pending"
"grace","Grace","Female","Thrower","??????","3","???????, ????? (?????????) 25 ???, ????????, ?????? ?????????? ?????","??????, ??????, ??? ??????? ?????? ??????.","? ????? ??????????? ? ?????????? ?????. ??? ??????? ? ???-??????. ??? ? ?????? ??????? ??? ???????????? ?????? ?? ? ???????, ? ? ????????- ??????????. ??? ????????? ?????????, ??? ??????? ???????? ? ????? ???? ?????. ??? ? ??????? ??? ????????? ??????? ???? ????? ???????, ? ???? ??????? ? ??? ???? ????.","????????? ""?????"" ????????","pending"
"highball","Highball","Male","Doctor","??????","3","???????, ?????, 38-40 ???, ????????, ?????? ?????????? ?????, ?????????.","?????????. ??????????? ???????? ? ??????? ?????.","???????? ????????? ??????????? ?????????? ????? ????, ??? ?? ?????? ???? ? ??????? ?? ?????????????? ?????. ??? ???????? ??????? ??? ??????? ???????????, ??? ??? ?????? ????? ????????, ??????? ???????????? ??? ?? ? ???????? ? ?????????. ???. ???????? ????? ????????? ?????? ?? ??????????? ?? ????? ? ????????? ?????.","???????? ""?????"" ??????","pending"
"hitman","Hitman","Male","Sniper","??????","3","???????, ?????, 35-38 ???, ????????, ??????? ?????????? ?????.","???? ??????????? ??????????. ????????? ??? ?????? ? ?????????, ??? ????? ???????, ???????? ????-????-??????????? ?????????? ?????.","????????????? ??????????, ??????, ??????, ???????. ????????????? ??????????, ?????????? ?? ????????? ?? ???????? ? ???????.","?????? ""??????"" ??????","pending"
"hobbit","Hobbit","Male","Demolitions","??????","3","???????, ?????, 27 ???, ????????, ????????? ?????? ?????, ??????","??????????, ? ??????? ??????, ???????, ?????????.","??? ??????? ??????????? ?? ?????????? ? ?????? ????? ??????. ??????? ???????, ??????, ??? ? ??????? ?? ????? ???? ??????. ??????? ????????? ??? ?? ???????? ? ???????? ? ?????????? ????? ???????? ?? ???????????????? ?????, ???? ?? ?? ??????? ?????????, ????????, ????????? ???????????????? ??????????. ??-?? ????? ???????? ??? ???????????? ???????? ? ??????? ? ???????? ????????.","??? ""??????"" ???????","pending"
"kulba","Kulba","Male","Autorifleman","??????","3","???????, ?????, 65 ???, ????????, ?????? ?????????? ????? (?????)","???????, ?????, ????????. ? ????? ????? ?16 ??????????. ??????????? ? ???? ??? ???????????, ?????????? ??????.","??????????, ??????? ?????-?? ?????. ??? ?????? ??????, ????? ?????????? ? ??????? ?????? ? ?????. ????? ?????? ???? ???? ??? ???? ????????? ??????????? ???????? ? ?????? ? ??? ????????? ??????????????","???? ??????","pending"
"laura","Laura","Female","Doctor","??????","3","???????, ?????, ????????, ?????? ?????????? ?????","????, ????? ????? ????? ? ?????????, ????? ??????. ?? ????? ???????? ? ??????.","???? ????? ???????? ? ???????. ?? ????????-?????????? ?????? ? ????????, ???????? ??????. ?? ??? ??? ???????????? ???????? ? ??????????. ??????? ?? ??????, ? ?????? ? A.I.M. ?? ?????? ???????? ????????. ????????? ????????! ?? ??????? ??????? - ???????????? ?????????? ? ???????? ?? ??????????????? ??????. ????????? ???????? ?? ?????? ?????.","?????? ???? ?????","pending"
"lucky","Lucky","Male","Autorifleman","??????","3","???????, ?????, 30 ???, ????????, ??????? ?????????? ?????","???????? - ?????????, ????????, ???????, ?????? ?? ?????.","??? ???? ????? ?? ???????. ???????? ?? ???????? ???, ??? ??? ??? ????????? ?????????? ???????. ?? ??? ??? ????, ? ???? ???? ??????? ???????. ????? ?? ?????, ??? ???-?? ???????? ? ??? ????????? ??????, ?? ?????? ? ?????? ? ?????? ??? ????????. ?????????, ??? ??? ?????? - ?????? ???????, ? ???? ???????? ???? ? ???????? ? ????? ?????????.???? ????? - ??????? ??????. ?? ?????? ? ? ??????????, ?? ????? ??? ???????, ? ?? ?????????!","??? ""????"" ????","pending"
"meat","Meat","Male","Demolitions","??????","3","???????, ?????, 45 ???, ????????, ??????? ???????????, ?? ????? ?????? ?????? ?????","????? ?????. ????? ?????. ? ????????.","????? ?????????? ????????, ?????? ???????? ???, ??? ??? ?????? ??????????, ????????? ?? ?????? ????? ??????? ?? ???????? ????????? ? ???????????. ???????????? ????? ???? ?? ??? ? ?? ????? - ????????? ????????.","?????? ""????"" ?????","pending"
"ricochet","Ricochet","Male","Melee","??????","3","???????, ?????, ????????, 28 ???, ?????? ?????? ?????????, ?? ??????? ???????????","???? - ??????, ???????, ??????? ?????? ? ??????, ???????, ????.","????????? ????? ?????? ?? ????? ? ??????????. ??? ?????? - ???? ?? ???. ??? ????? ???????? ??-?? ??????? ??????? ? ?????????? ?? ???. ??? ?? ????? ??? ?????? ??????????: ????????? ????????????, ?????????? ???????? ? ?????? ????? ?????, ??????????? ? ??????????? ??????????.","??? ""???????"" ???????","pending"
"shank","Shank","Male","Thrower","??????","3","","?????? ????? ??? ????????? ? ???????? ????????, ??????????? ????, ?????? ??? ???????","??????????? ???????, ???????, ?? ?????? ????????? ????? ? ??????. ????????? ????????? ? ????????","????? ""????"" ????","pending"
"static","Static","Male","Mechanic","??????","3","???????, ?????, 38-40 ???, ????????, ?????? ?????????? ?????, ?? ??????????.","???????, ????????. ???????? ???????????? ?????? ?? ??????? ??????????, ? ??????? ???? ?????","???????, ??? ???? ?? ??????? ??? '????????'. ??? ????? ????? ? ????????? ?????? ????????? ??? ????? ????? ????????? ???? ? ?????? ?????????. ???? ?????????????? ???? ??? ??????? ??????? ? ?????????? ?? ???????????. ??? ????????? ????????? - ???? ???? ? ????????? ?? ?????, ????? ? ???? ? ????? ????? ??? ????????. ??? ? '????', ??? ??????? ????????, '??????' ?? ?????? ?????? ?????????.","???? ""??????"" ?????????""","pending"
"steiger","Steiger","Male","Commander","??????","3","???????, ????? (?????), 45 ???, ????????, ??????? ?????????? ?????","???????? - ?????????, ????????, ???????, ?????? ?? ?????.","? ????? ??????? ????? GSG-9 ???? ?????? ???? ????????... ?????? ???? ?????, ? ??????? ?? ???????????? ?? ?????? ? ??????. ?? - ????????? ?????. ??? ??????? ??????? - ?????? ????????. ????? ????, ?? ? ???? ?????????? ???? ????? ????? ? ????. ? ???? ???? ??????????? ???????????. ??? ?????? ????????? ?????? ???????. ?????? ???????? ?????? ? ????????? ??? ????????, ?? ??? ?????? ????????? ?? ????, ??? ??????? ?????? ?? ????.","??????? ???????","pending"
"vilde","Vilde","Male","Autorifleman","??????","3","???????, ?????, 28 ???, ????????, ??????? ?????????? ?????","???????? - ?????????, ????????, ???????, ?????? ?? ?????.","??????? ?????? - ????????? ?????, ?? ???????? ????? ???????????? ?????????. ??????, ? ???????? ???????? ???????? ??????? ?????. ?? ?? ???????, ??? ? ???? ?????, ? ? ???? ???? ????-?????. ??????? ??????? ? ?????? ???????? ???. ??? ??????? ??????? - ?????? ???????? ? ???????? ?? ??????????????? ??????.? ???????? ?????????? ????, ???? ? ???? ?????. ??? ????? ?????????? ????? ?????? ????????? ????? ?? ????????? ????????.","??????? ""??????"" ??????","pending"
"vince","Vince","Male","Doctor","??????","3","???????, ?????, 30 ???, ????????, ?? ?????????? ?????????.","?????????? - ?????????, ??????, ????????, ??? ?????????, ?? ??? ??????? ?????? ?????","?????? ???????, ????-?????? ? ??????? ????????. ????? ???????? ????????? ????????.","?????? ??????? ""????"" ???????(?)","pending"
